time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.011571,0.460689,0.376395,0.291166
0.051549,0.249604,0.237719,0.280574
0.081548,-0.221097,-0.389293,-0.092929
0.111516,-0.161321,-0.124132,-0.045111
0.151494,0.067253,0.318288,0.027113
0.181493,-0.063371,0.043453,-0.106641
0.211409,-0.270034,-0.069633,-0.106783
0.251387,0.043279,0.117175,0.04475
0.281386,0.005839,0.094877,0.024858
0.311354,-0.184665,-0.049612,-0.074339
0.351332,-0.080507,-0.030301,0.054007
0.381331,-0.13108,0.107287,0.050058
0.411299,-0.141183,0.009232,0.025247
0.451277,-0.127778,-0.148365,0.044485
0.481276,-0.06234,0.02813,0.038535
0.511275,-0.167097,0.022918,-0.034446
0.551253,-0.120357,-0.099522,0.018479
0.581221,-0.187257,-0.05668,0.008929
0.61122,-0.152637,-0.073048,-0.045541
0.651198,-0.087034,-0.011233,0.0251
0.681166,-0.132894,0.04095,-0.01877
0.711165,-0.150644,-0.033815,-0.082113
0.751143,-0.142708,-0.015483,-0.024693
0.781111,-0.141724,0.014222,-0.049455
0.81111,-0.166163,0.104669,-0.09053
0.851088,-0.177868,-0.012192,-0.036257
0.881056,-0.169201,0.061199,-0.049654
0.911055,-0.034084,-0.01796,0.000323
0.951033,-0.202063,-0.002368,-0.006329
0.981001,-0.270928,0.08351,-0.156991
1.011,-0.176175,0.059807,-0.128539
1.050978,-0.016655,-0.45947,0.124065
1.080946,-0.247632,-0.308384,-0.125388
1.110945,-0.272593,0.125664,-0.257565
1.150923,0.182172,-0.146147,0.118485
1.180892,0.288875,-0.519617,0.063087
1.210851,0.095865,-0.264085,-0.13509
1.25083,-0.012005,0.470889,0.018943
1.280828,0.16971,0.279412,0.240171
1.310796,0.153328,-0.413726,-0.199356
1.350775,0.267491,0.677934,-0.096156
1.380773,0.41554,1.08112,0.174142
1.410741,0.280139,0.538814,0.239751
1.45072,0.137577,-0.000126,-0.369832
1.480718,-0.700487,-0.246742,-1.283883
1.510688,-1.130972,-0.367519,-1.780864
1.550666,-1.434771,-0.508877,-0.823447
1.580664,1.085958,0.14298,0.132645
1.610633,1.045501,0.946565,-0.257147
1.650611,0.074304,-1.055066,0.628288
1.680609,-0.332126,-0.760844,0.30727
1.710577,-0.054408,-0.619892,0.41241
1.750556,0.66892,-0.554914,0.855919
1.780554,0.623265,-0.762342,1.105193
1.810522,0.035402,0.283181,0.476622
1.850501,0.650701,0.190317,1.477649
1.880499,0.72177,-0.522181,0.372176
1.910467,0.133236,-0.750891,0.117948
1.950446,0.825623,0.015773,-0.213763
1.980444,2.334642,0.641332,0.103862
2.010443,0.241963,0.455078,0.292856
2.05042,0.488372,0.560581,0.066699
2.08039,1.572003,1.055445,0.289525
2.110388,-0.680403,0.535121,-0.533571
2.150365,-0.855846,0.828333,-0.390791
2.180335,0.665268,1.074653,-0.5504
2.210317,0.446909,0.823878,-0.627314
2.250295,-1.192099,0.573877,-0.449957
2.280263,-1.901878,-0.195711,-0.31013
2.310262,-1.065687,-1.405829,-0.517979
2.35024,0.652665,-0.857965,-0.463335
2.380208,0.429964,0.829747,-0.052326
2.410207,0.502885,0.76647,-0.081057
2.450185,1.654165,-0.565679,0.104931
2.480153,0.083449,0.469083,0.415231
2.510152,-0.604162,1.463092,0.54814
2.55013,0.430913,-0.425645,0.956538
2.580098,-0.540531,-1.498174,0.513411
2.610097,-0.180801,-1.241639,0.583098
2.650075,0.276915,-0.671653,1.522438
2.680043,0.989997,-0.172817,1.099815
2.710042,0.207448,-0.096251,-0.364166
2.75002,0.826532,0.483513,-0.172467
2.780019,0.873347,0.522039,0.382723
2.809987,-0.382974,-0.235117,-0.771592
2.849965,-0.764452,0.925475,-0.726961
2.879964,-0.616251,1.834427,-0.250312
2.909932,-0.680036,1.192548,-0.939562
2.94991,-1.978351,0.53307,-0.788763
2.979909,-1.901181,-0.40955,-0.257333
3.009877,-2.258135,-1.375629,0.097477
3.049855,-2.100856,-1.513236,-0.273568
3.079854,-0.068358,-0.709825,0.295826
3.109822,1.787104,0.400919,0.361498
3.1498,0.575338,0.747351,0.233354
3.179799,-0.213982,0.284936,0.395858
3.209737,0.628833,0.921422,0.622159
3.249715,1.524976,-1.304033,1.806121
3.279714,0.115677,-1.880839,1.293444
3.309682,-0.636162,-1.38889,1.037928
3.34966,0.794502,-0.175963,0.692386
3.379659,1.014721,0.548413,0.223874
3.409627,-0.176891,-0.22438,-0.089075
3.449605,0.539103,-0.110418,0.345574
3.479604,1.173826,0.604904,0.146836
3.509572,-1.407893,1.203543,-0.602807
3.54955,0.728601,1.199514,-0.671153
3.579549,0.819904,1.796122,-0.545989
3.609548,-3.012197,1.12274,-1.837054
3.649526,-0.97386,-1.240657,-1.824269
3.679494,0.856011,-0.122386,-1.060905
3.709493,-0.134227,0.750669,-1.815022
3.749471,-0.29541,0.362413,-1.858158
3.779439,0.243269,-0.312809,-1.585155
3.809438,0.114123,-0.407325,-0.469056
3.849416,0.544694,0.052326,0.304859
3.879384,1.659573,-0.209598,0.659042
3.919362,3.209393,-2.727641,1.814903
3.949361,3.165147,-0.90435,1.286301
3.979329,1.248023,-0.114369,1.31235
4.019308,1.220749,-1.54515,1.900279
4.049306,1.126179,-1.935171,2.235457
4.079275,0.126203,-1.12745,0.920811
4.119253,0.823933,2.203804,-0.462697
4.149251,1.217043,0.171531,0.445308
4.17922,0.044469,0.817828,0.012834
4.21915,-2.776374,2.202939,-0.387231
4.249148,-0.924569,0.788693,-0.035977
4.279116,-1.984299,2.319238,-1.012231
4.319095,-2.009793,5.010096,-1.151691
4.359103,-2.005482,3.523509,-0.863256
4.379092,-1.99471,2.502433,-0.785275
4.419069,-0.870729,2.223953,-0.768111
4.449039,2.016281,1.762323,-0.776369
4.479037,2.12386,-0.219443,-0.376
4.519014,1.936621,-2.461814,-0.177916
4.548984,2.023204,-2.845358,-0.360061
4.578982,3.385532,-3.90156,-0.660512
4.618959,0.489953,-5.767308,0.444708
4.658938,-0.476322,-3.079581,1.321695
4.678927,0.795302,-1.485447,1.280318
4.718905,1.520972,-0.379906,1.257357
4.748874,0.633562,0.247479,1.14878
4.778872,-0.319836,0.976483,0.840341
4.81885,-0.829402,0.224515,0.589589
4.848819,-1.721735,1.130403,0.827759
4.878817,-2.463806,2.821447,0.312548
4.918795,-3.071446,1.030753,-0.332024
4.948764,-4.045095,2.771386,0.009151
4.978763,-3.798889,5.618938,-0.553258
5.01874,-1.754432,5.264023,-0.108597
