time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.029607,0.857454,-3.921543,-8.615992
0.062601,0.566698,-4.263477,-8.572446
0.09627,0.61174,-4.47597,-8.415321
0.129616,0.692398,-4.534181,-8.272711
0.163075,0.711552,-4.608255,-8.265977
0.196378,1.125914,-4.507994,-8.110348
0.22919,1.460066,-4.501858,-7.791609
0.262476,1.614647,-4.313907,-7.291502
0.296566,1.58008,-4.301337,-7.708856
0.329701,1.667172,-4.592392,-7.784875
0.363228,2.117298,-4.55139,-8.807535
0.396406,2.063576,-4.571293,-9.508313
0.429688,1.845098,-4.32498,-10.018745
0.462839,0.726367,-3.73,-10.388513
0.496041,0.048335,-3.876351,-9.606179
0.529595,-0.443542,-4.15349,-8.028494
0.562943,-0.474069,-4.430628,-6.780172
0.596494,-0.080059,-2.952156,-4.988797
0.629579,0.729509,-2.881375,-4.265722
0.662915,1.402154,-1.993543,-4.720936
0.696254,2.5146,-1.854076,-5.090554
0.729599,3.46199,-3.665654,-6.046473
0.762799,2.865214,-7.181365,-11.53792
0.796275,3.716832,-7.11238,-12.072894
0.829618,4.306724,-7.609493,-15.443302
0.862833,8.366238,-10.730297,-11.644017
0.896269,2.071058,-4.983709,-12.965663
0.929593,0.602612,-6.389604,-8.24802
0.962983,3.413805,-5.488305,-6.498993
0.996278,-0.55308,0.371264,-3.796142
1.029633,-6.686346,6.674824,-3.604899
1.062842,-6.947772,4.862648,-1.193253
1.09641,-13.454248,2.023771,-6.568428
1.129937,-22.030734,-9.427506,-16.266937
1.162686,-17.984389,-8.733013,-14.984197
1.196314,-5.941573,-8.037472,-9.818223
1.229764,-0.964598,-7.205158,-6.666294
1.26286,2.118794,-11.21948,-5.665632
1.296365,8.764438,-15.4023,-9.159495
1.329682,3.064089,-11.833166,-10.189338
1.362625,1.736606,-12.981675,-9.759264
1.396273,-8.025202,-16.453092,-13.758322
1.429806,-16.129714,-15.792868,-19.524963
1.46283,-21.817343,-14.335495,-15.907494
1.4963,-17.595616,-5.760505,-9.123431
1.529701,-9.471201,3.207297,-5.710824
1.562889,-5.739256,5.988112,-3.993521
1.595707,-3.655927,3.636773,-2.026465
1.629901,-5.176898,3.400337,-0.522104
1.663314,-4.661228,1.926354,0.991684
1.696364,-5.304543,-0.124802,1.506755
1.730385,-8.191904,-3.854054,0.886186
1.762661,-10.463933,-5.902666,0.417205
1.796482,-14.328911,-11.801591,-5.71247
1.829632,-21.730999,-23.874036,-11.258237
1.862977,-12.856424,-13.51186,-5.255011
1.896277,-4.775256,-11.911878,-2.279511
1.929688,-0.021698,-5.67042,1.371328
1.962991,9.5345,-3.245157,0.805528
1.996442,11.116526,-6.827609,-0.790713
2.029095,10.134718,-14.50938,-4.371968
2.063087,4.158129,-21.120456,-9.429601
2.096354,-15.00814,-34.380317,-16.834682
2.129646,-23.874036,-34.094948,-17.25877
2.162919,-23.14318,-21.007326,-12.967908
2.196381,-13.444521,2.616956,-7.119562
2.229615,-5.19261,12.378913,-4.864593
2.2627,0.619073,20.169026,-1.340352
2.29635,1.063812,16.169669,0.018705
2.328937,-5.992003,12.218646,1.056928
2.362933,-11.608252,6.859932,1.927401
2.396693,-19.602627,-1.988007,0.069883
2.430102,-30.683987,-17.779527,-6.695774
2.464305,-30.282196,-23.613358,-12.287182
2.496338,-21.375447,-17.08279,-11.319142
2.529632,-5.885906,-11.256292,-6.656866
2.562854,-0.429176,-7.017656,-5.057632
2.596465,6.477894,-6.083584,-4.238786
2.630035,10.437296,-8.910639,-3.553122
2.662739,9.776623,-14.864184,-6.643698
2.696405,9.103229,-17.762917,-8.53279
2.729683,2.264846,-15.832224,-14.586446
2.765637,-10.657122,-21.139311,-27.684544
2.796192,-27.648779,-22.534731,-33.512688
2.829921,-27.808747,-8.537579,-21.238674
2.862697,-11.871474,9.002669,-6.7477
2.896505,-2.411346,18.476714,-1.381354
2.929618,4.248214,20.983383,2.618303
2.962567,0.73759,17.84552,4.198083
2.996259,-8.18936,11.411173,4.825536
3.029631,-14.523297,6.600301,3.005579
3.063184,-27.083428,-8.17694,-3.071122
3.098484,-37.450542,-19.614449,-12.02815
3.129962,-28.206349,-19.195299,-15.120971
3.163316,-13.546577,-12.580483,-11.543158
3.19626,0.635234,-8.302939,-3.926781
3.229583,5.121979,-4.847085,-0.543354
3.26198,8.224825,-4.343536,0.914767
3.296103,8.080569,-12.092198,0.320834
3.329713,5.837422,-16.757167,-3.261468
3.363096,2.384111,-20.910357,-6.372096
3.396248,-4.419106,-20.953005,-11.352812
3.429934,-25.450674,-36.071881,-18.315997
3.46288,-38.338972,-28.358984,-12.632708
3.496693,-28.53257,-7.530482,-6.352044
3.529717,-10.650238,12.20443,-3.712941
3.56374,-1.728376,20.755926,0.022746
3.596755,1.829834,20.407258,1.627068
3.629887,-4.347577,16.312129,2.678908
3.663548,-8.506004,12.849391,3.538307
3.69723,-11.847681,8.312366,3.10569
3.73391,-33.221033,-10.773095,-1.216896
3.764793,-47.52645,-26.285981,-5.247829
3.79726,-34.476837,-26.05987,-6.431355
3.830825,-10.168687,-17.30501,-4.918015
3.863511,1.864401,-9.341012,-2.417482
3.896886,7.495466,-6.285153,-0.13827
3.929377,10.144445,-6.241907,1.866197
3.962962,9.066268,-11.483001,1.502116
3.996284,7.538263,-18.689357,-1.721941
4.029613,2.206186,-17.445225,-6.964383
4.063199,-7.977465,-20.271831,-11.886439
4.096373,-28.094715,-38.87619,-18.110238
4.129847,-32.699827,-26.922412,-12.27566
4.163005,-24.202352,-7.634783,-3.516011
4.196255,-11.596431,8.969299,-1.465753
4.229834,-3.611034,18.798297,-1.098978
4.263046,-0.108192,19.214753,-0.502202
4.296286,-3.687202,17.178861,1.933237
4.329606,-7.681621,11.442149,4.921457
4.36293,-15.021608,4.160373,4.89946
4.396289,-29.916468,-13.636513,3.918401
4.429629,-35.714983,-31.765307,1.135191
4.462999,-21.744168,-24.639759,0.251849
4.496284,-3.862434,-15.746927,-0.029629
4.529696,3.731497,-6.732885,1.142225
4.562946,5.400165,-3.837743,0.550536
4.59644,6.726899,-6.656418,-1.133396
4.629632,8.043159,-14.223562,-0.672795
4.663183,7.483344,-20.987723,-4.914574
4.696297,-2.280708,-25.189697,-7.394906
4.730506,-12.150109,-26.562371,-9.829447
4.762515,-25.784827,-32.133279,-9.918783
4.796742,-28.271593,-17.903881,-4.439607
4.829611,-17.94174,-0.428428,-3.293342
4.862947,-6.838234,13.536402,-2.630723
4.896308,-2.148573,16.412689,-1.537731
4.92963,-2.5565,15.510342,0.643465
4.963644,-4.68966,12.933341,3.560754
4.9956,-6.735878,8.085208,4.773311
5.029697,-13.062782,3.506583,4.368975
5.062823,-29.288118,-13.513057,1.285134
5.096284,-43.086245,-30.282944,-2.449206
5.129627,-21.136617,-21.419442,-3.180062
5.162939,-5.240346,-13.67138,-2.731582
5.195351,2.424814,-8.185918,-0.749861
5.229764,7.997667,-5.886954,0.860746
5.262658,8.75082,-7.314398,0.995425
5.295606,8.700989,-11.47926,-0.265167
5.330001,4.493927,-17.217618,-6.386162
5.36285,-4.46759,-18.173088,-9.96203
5.396363,-11.706268,-29.268664,-16.261699
5.429996,-32.563502,-26.117184,-14.912369
5.46267,-25.689803,-10.82113,-6.115009
5.496273,-15.613595,-0.250502,-3.590234
5.529663,-7.303773,8.785687,-1.895527
5.562921,-2.749091,13.299667,0.932874
5.596345,-3.697079,13.728094,3.747808
5.629616,-3.04254,10.885327,6.031658
5.662633,-6.029264,6.638011,5.924364
5.695394,-13.748745,0.970584,3.738829
5.729618,-27.125927,-15.067249,-2.94647
5.76379,-35.533765,-26.555637,-6.980095
5.796268,-17.278523,-17.211184,-6.487321
5.829608,-3.838192,-11.25719,-4.653297
5.8638,1.720744,-7.450124,-0.300932
5.896349,8.315509,-5.415129,2.517443
5.929652,8.314761,-8.144317,1.675402
5.962716,8.576486,-14.580161,-0.823036
5.996037,3.355444,-23.209172,-10.486978
6.029881,-7.48948,-23.802357,-17.525583
6.062327,-18.258684,-25.622614,-21.534967
6.096556,-23.914439,-19.248123,-15.785535
6.12891,-21.372006,-5.664883,-9.437083
6.162973,-11.255694,4.291161,-5.962224
6.196275,-3.662361,13.675869,-1.818611
6.229644,-0.064197,15.378506,1.713262
6.262089,-3.376693,13.116204,2.895142
6.296445,-5.983773,10.197419,3.627195
6.329565,-11.323781,4.050984,1.58023
6.366418,-22.671954,-5.634656,-4.652399
6.395914,-31.567479,-14.084095,-10.432508
6.430007,-28.533468,-17.038196,-14.022442
6.462651,-14.476459,-11.226962,-10.475455
6.496404,-2.374235,-8.840905,-5.650667
6.529029,3.095215,-7.785773,-1.03523
6.563344,8.866494,-8.969898,1.49613
6.596315,9.083626,-13.23547,-0.823186
6.629774,8.409185,-15.148505,-5.935587
6.662717,-1.176044,-15.541767,-15.022206
6.695759,-13.237415,-21.506535,-20.296522
6.730082,-27.161392,-26.67191,-23.391288
6.762751,-31.280464,-17.735981,-17.201457
6.79627,-16.89813,0.337295,-7.121657
6.829966,-8.542068,11.116077,-2.278164
6.862863,-3.170635,17.021736,3.032963
6.896729,-2.076595,15.422651,7.748212
6.929374,-4.418208,13.72166,6.257619
6.963031,-6.400229,10.955959,4.60601
6.996442,-12.430091,8.46605,3.193979
7.029393,-22.90405,-2.203043,-1.023857
7.063554,-48.109908,-21.985841,-9.037536
7.095978,-40.426641,-26.11464,-7.448328
7.12941,-9.674417,-16.506216,-4.341142
7.162933,-0.40658,-10.198466,-1.645025
7.195701,8.090745,-8.53294,1.082517
7.229632,11.178927,-8.888043,1.895527
7.262643,10.392553,-12.495336,-0.032473
7.296343,7.342082,-17.637666,-3.599362
7.328923,-2.00327,-20.475794,-8.766682
7.362945,-17.467672,-29.845089,-12.852982
7.396613,-32.577718,-32.952424,-13.085079
7.429623,-35.081544,-19.84475,-8.125462
7.462772,-18.929683,1.047052,-4.368527
7.496336,-9.233568,13.134012,-1.873081
7.529619,-3.760527,17.893855,1.607764
7.563031,-3.498652,16.962926,3.675081
7.596293,-4.463251,13.829253,4.429581
7.629662,-5.833381,9.853689,3.85166
7.663064,-12.66129,5.990955,2.202894
7.696371,-30.643583,-11.209005,-2.367501
7.729923,-47.919862,-27.070559,-5.517186
7.762788,-30.598242,-25.757442,-5.23885
7.796313,-5.126618,-14.834255,-3.708601
7.829766,2.925071,-8.863651,-1.471589
7.862831,9.339815,-6.326754,0.391466
7.896363,13.724054,-9.273972,0.614434
7.929686,10.612977,-13.672726,-1.037026
7.962076,5.820961,-15.974983,-4.525652
7.996945,-4.796206,-19.828139,-8.43238
8.029611,-24.732687,-34.829695,-10.968978
8.063022,-36.613589,-30.845901,-6.430457
8.096262,-32.194632,-14.708705,-1.651609
8.129605,-14.277434,4.992388,-1.955983
8.162935,-3.090875,16.981931,-0.267412
8.19564,2.375133,20.578599,2.458634
8.229698,-1.538629,16.683094,4.467141
