time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.011692,0.113384,-0.27574,0.365171
0.038265,0.235365,0.437327,0.129824
0.068264,-0.191983,0.079088,-0.118995
0.098232,-0.08833,-0.167174,-0.073994
0.13821,0.13874,-0.037466,0.088045
0.168209,-0.30689,-0.001024,0.192644
0.198177,-0.466285,-0.106576,0.254051
0.228176,-0.342879,-0.245853,0.188275
0.268154,0.01716,0.038919,0.143615
0.298122,0.104107,0.219722,0.168447
0.3381,-0.236487,0.26876,0.095301
0.368099,0.017785,0.114108,0.049181
0.398067,0.202293,-0.264246,0.164057
0.438045,-0.139854,-0.604889,0.353038
0.468044,-0.281411,-0.857962,0.310916
0.498012,-0.623139,-1.210265,0.277045
0.53799,0.448976,-0.963311,0.072987
0.567964,0.086266,-1.299215,-0.357693
0.597932,-1.191329,-0.940341,-0.6221
0.63791,-0.683211,-1.110434,0.15823
0.667909,0.604336,-1.129899,-0.114363
0.697877,0.638475,-0.545256,-0.803733
0.737855,-1.047267,0.679883,-0.89529
0.767854,-0.610621,0.463386,-0.551554
0.797822,1.441232,-1.003656,0.55846
0.8378,1.56148,-1.125674,0.773108
0.867799,3.199484,-1.130474,1.0094
0.897768,4.433028,-0.262792,0.91287
0.937746,5.144263,-2.015499,3.306063
0.967744,4.131548,-4.230158,4.854661
0.997713,6.403265,-6.550443,4.492494
1.037691,2.234216,0.492851,-1.028347
1.067689,0.760391,2.782235,-0.158367
1.097658,1.877537,9.24733,6.116722
1.147645,-4.548473,1.154554,4.696081
1.167634,-4.200561,-1.050164,3.360237
1.197603,-4.402735,1.105623,1.316409
1.237581,-2.860158,6.101499,0.345669
1.26758,-2.177068,6.130343,-0.87861
1.297548,-2.592292,4.368333,-2.535673
1.337526,-2.836756,-0.534686,-2.895501
1.367525,-2.886655,-3.538136,-5.297307
1.397493,-1.503819,-5.680602,-5.324141
1.437471,7.615124,-1.698179,-3.103664
1.46747,2.468861,-3.212992,-1.86806
1.497438,-0.058742,-7.113932,0.078089
1.537416,2.230685,-4.514031,0.597417
1.567388,3.91198,-2.110314,0.500778
1.597356,4.774645,-1.484949,1.112122
1.637334,5.104229,-2.111518,-0.297295
1.667333,1.0505,-1.618979,-0.216644
1.697301,-1.018794,-1.659047,1.466607
1.737279,-2.212813,-0.156557,2.167056
1.767278,-3.239808,2.569813,2.583286
1.797246,-2.564675,3.487981,3.00041
1.837224,-2.6852,3.615615,4.026266
1.867223,-4.716257,2.037895,4.160263
1.897191,-6.080749,1.56707,4.044415
1.937169,-4.127313,4.023968,2.06852
1.967168,-3.591353,3.997923,0.815599
1.997136,-2.712998,3.193135,-0.62966
2.037114,-1.445875,0.502316,-4.497118
2.067113,-1.200763,-1.57955,-5.847178
2.097081,-0.736556,-4.887833,-5.465527
2.137059,-1.620312,-7.157246,-3.422296
2.167058,-1.42421,-8.013635,0.035856
2.197026,-1.049888,-6.31572,2.082961
2.237004,2.136353,-2.401504,0.626933
2.267003,3.181958,0.424996,1.338128
2.296971,3.592569,0.046756,1.689619
2.33695,3.358045,-1.056243,0.851164
2.366948,1.038353,-1.271606,1.691241
2.396917,-3.406614,-1.659892,3.046796
2.436895,-3.610232,3.73338,2.825168
2.466893,-0.512429,6.712599,1.07689
2.496862,-1.008037,6.180892,1.735355
2.53684,-3.03488,3.933885,4.600761
2.566798,-4.504408,1.841396,4.005891
2.596767,-3.826214,2.014407,2.626959
2.636745,-3.819248,2.674215,0.400097
2.666743,-2.343762,2.534285,-1.839588
2.696712,-1.651257,1.326957,-3.918678
2.73669,-0.803941,-0.187303,-4.484849
2.766689,0.322345,-1.659982,-5.015544
2.796657,0.838807,-3.592487,-3.702602
2.836635,0.52773,-3.731074,-0.021941
2.866634,0.043053,-4.494971,0.6446
2.896602,1.767653,-3.672156,0.977687
2.93658,3.540137,-2.676733,0.664945
2.966579,3.595119,-1.645652,-0.435351
2.996547,2.662845,-0.898977,-1.055509
3.036525,0.509863,-2.603879,0.749464
3.066524,-2.278867,-1.311605,1.987263
3.096492,-2.925011,2.740063,2.372265
3.13647,1.216674,7.313873,2.11775
3.166469,-0.154112,5.494553,4.788584
3.196437,-3.078563,-0.753848,6.108092
3.236415,-5.543144,-2.56069,4.394457
3.266414,-4.915043,-0.029498,1.592278
3.296382,-3.318896,1.966527,-1.594199
3.33636,-0.304591,3.838977,-3.460667
3.366359,1.192309,2.622075,-4.314267
3.396327,-0.575396,-2.577428,-4.775435
3.436305,1.027638,-5.370347,-5.472762
3.466274,2.289569,-4.165123,-2.501015
3.496272,0.757911,-4.192075,1.406378
3.53625,0.753182,-4.158113,1.610952
3.56619,2.445063,-1.069605,1.751266
3.596188,3.838942,1.04686,0.748495
3.636166,4.041932,-0.361855,-0.867704
3.666135,1.404237,-2.655811,-0.475383
3.696133,-1.266353,-3.411084,0.757882
3.736111,-0.958381,1.567594,1.186127
3.76608,-0.734175,4.49492,0.34484
3.796079,-0.28255,6.99772,3.105501
3.836057,-1.774356,1.599176,6.224058
3.866025,-4.647145,-3.678589,6.027737
3.896024,-6.242412,-3.69344,4.548677
3.936002,-3.923377,1.60914,0.061974
3.96597,-2.163144,4.586527,-1.694877
3.995969,-0.375805,4.451266,-2.611513
4.035947,-0.709614,-0.997507,-4.565711
4.065915,-1.338324,-4.778547,-4.237398
4.095914,0.947372,-4.334086,-4.61393
4.135892,2.155029,-3.627741,-1.553881
4.16586,0.638619,-3.816126,1.05649
4.195859,1.190316,-3.22698,0.905023
4.235837,3.693796,-0.700682,1.363981
4.265805,4.261724,-0.483424,0.716002
4.295804,4.134268,-1.091818,-0.399816
4.335782,1.709216,-2.465676,-0.302494
4.36575,-0.188241,-2.040604,0.53685
4.395749,-0.895286,0.778758,1.326081
4.435727,-1.92947,4.564638,0.276276
4.465695,-1.07124,5.733696,2.880395
4.495694,-2.824932,1.660252,5.322749
4.535672,-5.442931,-2.397284,4.353212
4.565612,-4.883095,0.124325,2.664026
4.595611,-3.143521,2.389202,-0.522058
4.635589,-2.048349,2.865565,-2.729045
4.665557,-0.180406,2.033957,-3.056379
4.695556,0.368185,-1.304696,-4.599253
4.735534,-0.140311,-4.991193,-4.448316
4.765502,2.234857,-4.769724,-3.416729
4.795501,0.633555,-4.873867,0.313493
4.835479,-0.509669,-3.583844,1.652055
4.865447,1.634382,-0.570609,1.585625
4.895446,2.954372,0.814692,1.571143
4.935424,3.772131,-0.077204,-0.116332
4.965393,2.690383,-1.236052,-0.909138
5.005371,0.128555,-2.965107,0.118541
5.035369,-1.111921,-0.262344,1.002268
5.065338,-1.548199,3.02412,1.238231
5.095336,-1.966384,4.138164,0.376739
5.135314,-1.710384,3.006681,3.587015
5.165283,-3.891846,-0.480038,5.132409
5.205261,-6.133479,-2.311818,3.529726
5.235259,-5.048944,0.232545,1.475859
5.265228,-3.410005,3.251615,-0.597434
5.305206,-0.768957,5.604083,-1.707018
5.335205,0.792062,2.164161,-3.73475
5.365173,-0.44326,-3.565752,-4.407169
5.395172,0.524823,-4.868632,-4.279051
5.43515,2.983768,-2.772246,-2.603819
5.465118,0.626648,-3.482734,1.287664
5.505096,0.467452,-3.269338,1.224016
5.535095,3.761269,-0.779536,1.182862
5.565008,4.167918,-0.873851,0.72691
5.604986,3.847857,-1.244759,-0.808821
5.634985,2.357699,-1.245661,-1.460827
5.664953,0.549427,-0.684587,-0.844864
5.704931,-0.712808,2.169127,0.896529
5.73493,-1.77034,3.229815,2.00273
5.764898,-2.045328,3.808658,0.213241
5.804876,-0.303035,4.928614,2.914161
5.834875,-3.105402,0.742873,4.507694
5.864843,-4.304098,-1.559875,3.832896
5.904821,-3.671946,0.086319,1.282652
5.93482,-2.237593,1.672069,-1.164919
5.964788,-0.955248,2.318181,-2.16567
6.004766,0.958189,-0.131768,-3.744092
6.034765,-0.092835,-3.976433,-3.984701
6.064733,0.871288,-5.199435,-4.566499
6.104711,2.531234,-4.85247,-1.419868
6.13471,-1.018587,-5.533155,2.057732
6.164678,-0.288567,-2.894849,1.603008
6.204656,2.098759,1.265488,2.244518
6.234655,2.64274,1.35157,1.30005
6.264623,2.888968,0.225153,-0.497702
6.304601,0.770105,-1.659313,-1.15453
6.3346,-0.426863,-1.800757,0.360377
6.364569,-0.285963,1.156102,1.73055
6.404547,-2.045379,3.309598,1.724189
