time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.032197,2.192568,-2.574607,-8.572147
0.064264,1.067253,-0.988691,-7.909228
0.097528,0.177477,-1.951494,-8.609258
0.130923,0.837103,-3.519752,-9.79039
0.164212,2.158899,-0.430074,-7.419746
0.197526,1.166916,-1.088204,-9.487512
0.230854,1.929347,-2.329492,-9.259756
0.264195,2.943477,-0.705267,-9.754027
0.297572,1.520522,-1.265231,-10.848515
0.330999,1.465004,-0.27669,-11.874168
0.364443,1.879515,-0.351362,-11.530288
0.39667,-0.218628,-0.515071,-9.799518
0.430638,1.084462,-1.076531,-9.174759
0.464263,1.389584,-0.787122,-10.305311
0.497601,0.07123,-0.338193,-10.137861
0.531349,-0.03756,-0.49023,-9.271877
0.564246,1.784342,-1.415473,-8.345138
0.597593,1.132199,-0.985399,-6.884773
0.631135,0.55727,-1.443606,-7.012867
0.664262,0.413015,-2.656611,-6.427015
0.697632,0.939907,-3.132326,-5.623881
0.730644,0.935867,-3.132625,-5.719802
0.764265,-0.539612,-4.321688,-7.246011
0.797598,0.090983,-3.882786,-8.36115
0.830971,-0.013169,-3.40737,-8.141025
0.864246,0.149044,-4.471182,-8.513187
0.897746,-1.04765,-2.788147,-8.985011
0.931003,-1.849138,-4.173841,-11.295947
0.964695,-0.759139,-3.875752,-11.93208
0.997567,0.195883,-4.596732,-10.31429
1.031017,-1.130552,-5.245584,-10.835197
1.064255,-0.380841,-6.393944,-12.453885
1.09709,-1.334815,-6.882378,-14.691196
1.130967,-5.931098,-5.583478,-17.993966
1.164118,-1.471738,-8.9898,-14.257381
1.197528,-3.858693,-5.467205,-9.941828
1.23115,1.481764,-8.969898,-8.455425
1.263788,-4.014322,-5.382507,-10.98888
1.297591,-4.280686,-0.128244,-6.173969
1.330846,-2.548419,8.960021,3.090276
1.364268,-2.305399,7.801785,0.814058
1.397522,-6.445122,16.694766,-0.801637
1.430636,-8.094935,16.888853,-3.102697
1.464179,-12.797315,16.087964,-5.79208
1.49759,-12.917329,12.228373,-7.068235
1.53052,-22.377756,13.931609,-14.861939
1.564195,-31.991118,8.950743,-36.539067
1.597697,-24.165241,1.060071,-29.172444
1.630561,-7.043993,-12.96716,-13.930711
1.664187,2.56054,-17.374444,-9.952603
1.697681,5.858072,-20.375982,-5.446255
1.730898,5.853583,-18.618575,-2.252725
1.764193,-0.552033,-13.61272,-6.141646
1.797522,-9.32096,-11.113383,-10.300523
1.831302,-20.246691,-7.559962,-12.223734
1.864472,-48.249375,-9.167426,-21.410015
1.897516,-57.810811,1.072192,-15.384642
1.931122,-40.30977,13.483129,-8.061415
1.964195,-8.560774,20.707441,-0.96819
1.998089,3.628542,24.139652,1.558382
2.030414,8.95613,24.109574,3.094616
2.064237,6.377782,19.683584,3.258475
2.097504,-2.111163,14.767813,-0.145752
2.130921,-9.269333,10.841631,-2.104878
2.164267,-11.339045,6.121145,-2.895142
2.197583,-17.635571,4.727221,-3.712342
2.2307,-30.294616,2.847705,-8.138781
2.264217,-41.044367,-5.549209,-14.70212
2.297389,-27.192967,-5.217601,-11.53358
2.330767,-13.747847,-6.10199,-5.969556
2.36426,-2.900829,-6.798578,-2.353884
2.397696,4.715848,-6.2865,-0.176429
2.430624,6.70161,-6.77673,-1.007696
2.46437,5.14682,-7.51881,-3.119457
2.498024,-0.308564,-9.406406,-6.545981
2.532453,-5.795372,-8.93548,-5.684636
2.564211,-9.875088,-8.542368,-5.954442
2.597668,-26.537082,-18.676787,-11.820147
2.630904,-53.86772,-17.059895,-19.106112
2.664157,-29.302633,0.0838,-9.436634
2.697557,-6.820277,11.729313,-0.426183
2.73096,5.283144,22.681381,1.652357
2.798748,6.639957,31.775782,5.840564
2.830815,-9.995251,24.293186,2.040681
2.864145,-17.754986,16.318563,3.769506
2.897489,-23.150213,13.029561,4.434519
2.94124,-51.072988,3.140257,-4.055025
2.974223,-59.346298,-13.953756,-11.43736
2.999564,-33.417515,-10.987084,-9.41718
3.030825,-7.998266,-8.271215,-6.229935
3.06417,4.762237,-7.849521,-4.835712
3.097498,8.616591,-10.736732,-4.764182
3.129989,8.224676,-18.885389,-7.14171
3.16705,4.01492,-23.819416,-7.878552
3.197512,-9.336672,-24.728647,-9.851145
3.23119,-18.821791,-21.465533,-10.306658
3.264192,-45.470207,-39.065488,-14.250947
3.297641,-54.407332,-19.870937,-9.433491
3.330605,-29.483701,8.51618,-4.879258
3.427362,3.361878,58.455773,4.000106
3.466387,-22.553586,51.714807,-0.756295
3.501887,-47.251855,35.028122,0.19678
3.535851,-52.582586,24.934256,3.639316
3.569659,-75.772604,10.824722,-6.561544
3.601553,-64.284066,-13.053055,-14.663512
3.635051,-30.729179,-10.066481,-11.914422
3.664136,-9.466862,-17.203402,-10.231088
3.697603,-2.620098,-22.123961,-7.789364
3.730506,12.333123,-21.651688,-7.09532
3.764356,11.009232,-22.84105,-11.717791
3.797499,-4.164713,-26.171654,-10.53621
3.83128,-14.629394,-25.232494,-10.745112
3.864154,-25.756544,-24.263556,-10.960897
3.90672,-51.698196,-21.304517,-13.318821
3.956776,-73.320106,-6.260612,-16.925665
3.969131,-65.606461,0.401043,-14.491722
4.004147,-21.355994,22.944304,-6.479839
4.036559,-5.141582,39.247005,-1.041964
4.071686,1.780901,47.861052,4.140321
4.10178,2.076595,50.176776,3.628093
4.136771,-15.205669,35.075858,-0.678481
4.169243,-30.279203,23.26469,-0.225811
4.202385,-38.317274,10.456301,-3.082345
4.235551,-68.440997,-4.106951,-12.475583
4.268996,-62.283489,-21.676679,-21.953817
4.301465,-26.501616,-14.455808,-12.557587
4.330808,-5.944566,-13.051858,-6.218862
4.363708,0.041451,-9.363458,-4.093034
4.39748,9.551709,-9.0317,-4.228311
4.430502,8.87682,-11.122661,-7.294944
4.464167,4.351617,-18.006087,-7.720229
4.497491,2.618602,-25.585502,-8.077577
4.530119,-4.829128,-27.822664,-7.306018
4.56417,-29.075774,-32.444686,-17.551921
4.597565,-69.620633,-24.620155,-31.148179
4.630861,-53.329304,6.260612,-21.386072
4.664154,-25.815952,22.720289,-10.91331
4.697501,-8.095833,30.145123,-1.286031
4.736765,3.476804,42.116858,9.578645
4.764165,2.424365,40.698692,4.594038
4.797497,-8.141474,35.292541,1.393774
