time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.002648,0.031955,-0.080671,-0.380377
0.027321,-0.030164,0.403096,-0.386852
0.05732,-0.230343,0.288761,-0.65689
0.097298,-0.394735,0.628299,-0.622252
0.127266,-0.853469,1.340305,-0.458635
0.167244,0.273604,1.331964,-1.012025
0.197243,0.568953,0.404475,-1.168857
0.227211,0.752242,-0.022212,-0.909611
0.257179,1.588347,0.915085,-0.586323
0.297157,1.149542,0.123631,-1.023839
0.327156,0.227429,-0.07185,-1.543137
0.367134,-0.806907,-0.018478,-0.836997
0.397102,-2.144419,-0.451336,-0.775144
0.427101,-1.909712,-0.410196,-1.113822
0.467079,-0.81968,-0.476927,-1.189765
0.497047,-0.665507,-0.34621,-1.108397
0.527016,-1.171136,-0.199686,-0.97549
0.566994,-0.872775,0.225004,-0.519517
0.596992,-0.546809,0.179149,-0.698049
0.626961,-0.429146,-0.085347,-0.903657
0.666939,-0.226201,0.092486,-0.720511
0.696937,0.32113,-0.120803,-0.505414
0.726906,0.751899,0.065814,-0.286263
0.766884,0.356957,-1.027485,-0.543629
0.796883,0.401733,-1.011239,-0.677333
0.826851,0.374215,-0.593382,-0.859509
0.866829,-0.273636,-0.520922,-0.51619
0.896797,0.624681,-0.067557,-0.458428
0.926796,0.004286,-0.539484,-0.592259
0.966729,-0.454043,-0.714886,-0.947876
0.996698,0.360459,-0.621534,-0.268283
1.026697,1.962394,-0.738589,-0.394688
1.066674,4.15173,-0.74113,-0.790807
1.096643,2.844075,-2.952528,-1.151016
1.126611,2.614599,-1.961777,-0.603552
1.166589,4.584498,-1.811004,-0.27533
1.196588,6.560099,-3.151146,-1.319462
1.226556,3.118789,-3.334996,-1.625414
1.266535,2.571738,-4.481652,-0.871396
1.296533,4.572031,-1.126825,-1.841994
1.326501,2.119658,1.951827,-1.402366
1.36648,-0.636388,-1.771469,-0.65949
1.396478,-1.997339,-0.277599,1.039291
1.426446,-3.125804,1.771122,2.711298
1.466425,-0.973701,5.837958,4.358554
1.496393,-1.790734,5.386468,4.790998
1.526391,0.637707,6.682208,4.615307
1.56637,2.276971,7.78959,4.206465
1.596338,3.133851,5.725347,1.909941
1.626337,2.729585,3.642336,0.876025
1.666315,0.281904,4.198889,-3.399411
1.696283,-1.082901,3.001693,-6.340781
1.72625,-2.747319,1.572128,-7.721404
1.766229,-5.323646,-0.945891,-7.831217
1.796228,-4.274287,-2.213066,-6.09207
1.826195,-1.469332,-2.089723,-3.983722
1.866174,-2.644037,-4.91232,-4.188626
1.896173,-1.895051,-4.305087,-2.277304
1.92614,-1.771174,-2.911041,0.403869
1.966102,-0.821235,-0.277173,-0.354977
1.99607,-0.914796,-3.533895,2.190465
2.026069,-1.152244,-4.620287,3.371121
2.066047,-3.410803,-2.137705,1.718116
2.096015,-2.953456,-1.898286,1.627389
2.126014,-1.483987,0.589143,3.591049
2.165992,-1.699405,3.439635,4.423189
2.19596,-0.822657,4.361386,4.643968
2.225959,0.549646,6.567247,3.841182
2.265937,2.994941,7.365076,5.446206
2.295905,2.325301,4.045969,5.19955
2.325873,0.462421,1.401833,3.306444
2.365851,-1.077015,2.953934,-1.121209
2.39585,-0.809405,4.401109,-3.27434
2.425818,-1.478165,3.209979,-3.989194
2.465796,-1.678402,-0.298723,-5.211975
2.495795,-1.27763,-1.722445,-5.25261
2.525763,-1.579391,-3.190904,-5.951423
2.565741,-1.665131,-5.021545,-7.874334
2.59571,-3.511256,-4.118292,-7.933793
2.625708,-3.960492,-0.197774,-5.750486
2.665686,-0.555852,0.284766,0.744424
2.695655,-2.669031,-1.078528,0.173266
2.725654,-3.093055,-3.226412,0.082886
2.765632,0.149004,-3.886187,2.297073
2.7956,-1.951343,-2.364443,2.638665
2.825599,-3.936332,-0.776727,4.015933
2.865577,-4.410308,-0.973708,5.702182
2.895545,-7.668608,0.563228,5.02287
2.925513,-0.120196,7.241596,6.076669
2.965436,2.452155,8.377393,7.876862
2.995435,3.265347,7.076385,6.626612
3.025403,3.441503,6.662398,5.21432
3.065381,1.074373,5.794113,0.587496
3.09538,-1.528131,2.72965,-2.622111
3.125348,-2.675334,2.120266,-7.028298
3.165326,-3.971338,3.199718,-9.529481
3.195295,-5.705463,2.47499,-8.907507
3.225293,-7.223028,-3.624046,-8.332921
3.265271,-6.801627,-8.023843,-9.602614
3.29524,-2.12915,3.086541,-2.691851
3.325238,-0.613721,-0.249065,-1.480615
3.365216,-3.52181,-1.503475,0.789177
3.395185,-0.740904,-5.821555,3.073827
3.425183,-4.341512,-8.235827,2.573178
3.465162,-3.37584,-0.110782,8.133747
3.49513,-4.327572,2.340744,9.077487
3.525098,-4.176241,6.158448,8.873147
3.565076,2.390637,7.186949,12.588019
3.595075,1.193552,2.312176,11.930324
3.625043,0.659094,1.258549,8.777408
3.665021,2.056842,5.898134,4.957845
3.69502,-0.951446,2.406173,-0.134331
3.724988,-3.310365,1.71518,-4.173722
3.764966,-3.145429,2.404309,-10.59905
3.794934,-4.738107,2.295362,-11.687016
3.824933,-3.368227,1.56551,-10.705673
3.864911,-2.530641,-0.55535,-8.586694
3.89488,-3.812514,-2.855176,-10.576265
3.924878,-2.802843,-4.99547,-5.765804
3.96483,-1.351383,2.582937,0.895905
3.994799,0.84695,1.450917,0.391919
4.024797,-0.779604,-7.223327,0.412506
4.064745,-3.264065,-8.460823,0.462204
4.094744,-1.282165,-4.612942,0.636828
4.124712,-3.772452,-0.01533,3.673324
4.16469,-5.190143,3.321046,7.430118
4.194689,-3.394902,6.008175,7.934466
4.224657,-3.098172,5.641391,8.122234
4.264635,-1.295391,3.340122,9.87561
4.294634,-1.119119,3.223579,8.764027
4.324602,1.172467,5.679748,7.649205
4.36458,0.134506,3.440036,1.991666
4.394548,-2.715258,-0.528669,-3.570359
4.424547,-2.21046,1.026067,-9.033372
4.464525,-2.018532,2.779566,-9.936098
4.494493,-1.324924,0.936822,-8.862678
4.524492,-1.688469,-1.719837,-9.296256
4.56447,-4.198304,-4.12432,-10.379029
4.594438,-5.850269,-6.848922,-2.792085
4.624437,-3.447216,-3.674979,-0.288331
4.664385,-0.228911,-1.519247,-1.027373
4.694384,0.612864,-4.229797,0.93706
4.724352,1.382415,-4.770062,1.59391
4.76433,-2.096741,-4.3905,-0.629666
4.794329,-2.838311,-2.108982,2.481668
4.824297,-0.650282,1.447022,4.48455
4.864275,-2.53641,5.643858,5.898282
4.894274,-1.370538,5.359645,7.964364
4.934252,-1.437906,4.057885,10.665702
4.964195,-1.537858,3.465208,8.812541
4.994163,0.680173,5.289029,8.399397
5.024162,1.497956,5.176151,6.34449
5.06414,-2.743719,-0.885266,-3.083262
5.094108,-3.757498,-0.053348,-7.536174
5.124107,-2.68546,3.071096,-8.977774
5.164085,-2.078527,1.509743,-9.819597
5.194053,-3.027365,-3.517564,-11.472736
5.234031,-5.514309,-3.896807,-6.758471
5.264,-3.504036,-0.110007,0.654918
5.293998,-0.750666,-0.105729,-1.236659
5.333976,-1.163188,-5.228249,-0.364036
5.363945,0.59428,-5.526841,0.490331
5.393944,-0.435029,-4.123761,0.088734
5.433922,-2.43378,-4.601434,-0.956889
5.46389,-2.893119,-3.108741,2.736921
5.493889,-2.397009,1.737355,3.933122
5.523857,-0.868333,6.56159,5.736035
5.563835,-0.067851,8.046329,8.145043
5.593803,2.507914,6.595486,11.206182
5.633781,-1.309482,-1.816173,9.306264
5.66378,-0.122081,1.924289,7.359144
5.693748,2.235542,7.057321,4.275108
5.733726,-1.384285,0.429939,-5.385946
5.763725,-5.16059,-0.390743,-8.328013
5.793693,-2.160639,3.398317,-8.902064
5.833671,-1.759071,0.473121,-9.828544
5.86364,-3.890283,-5.960647,-12.248613
5.893638,-4.389436,-4.641922,-7.966608
5.933616,-1.211282,1.367861,0.588484
5.963585,-2.045861,-1.488161,-1.035668
5.993535,-3.725542,-6.475372,-0.631704
6.033513,0.843538,-5.384534,1.339092
6.063482,1.871217,-2.585349,0.234042
6.09348,-1.056474,-3.003239,-0.943414
6.133428,-1.642656,0.326096,3.682431
6.163427,-0.477644,2.632624,5.39633
6.193395,-0.669411,4.008855,5.258028
6.233373,0.826411,5.019859,7.893929
6.263372,-0.157249,3.667038,10.928197
6.29334,-1.508883,2.118928,9.062456
6.333318,-0.137459,5.432103,8.18419
6.363317,-1.323682,4.690032,4.310416
6.393285,-2.34839,0.075492,-0.57742
6.433263,-2.533672,0.480649,-5.360267
6.463231,-1.975699,2.654037,-7.275106
6.49323,-2.40285,-0.228236,-9.141322
6.533208,-3.649369,-5.041328,-11.748022
6.563177,-2.879557,-7.370333,-11.911931
6.593175,-7.561975,-6.987783,-5.423715
6.633153,-1.996227,-1.697272,-0.127703
6.663122,1.005799,-2.490972,-1.372549
6.69312,1.327198,-3.309823,-0.798598
6.733068,-0.797323,-4.974902,-1.463436
6.763067,-2.162591,-2.94312,-1.167069
6.793035,-2.689745,-0.993237,2.055426
6.833013,-1.732966,0.22874,3.736994
6.863012,-1.884163,3.657386,5.062589
6.89298,-1.882339,4.492176,6.900616
6.932958,-2.911134,7.073866,9.70516
6.962957,-0.903314,5.799746,10.806507
6.99291,1.48786,5.977292,8.737507
7.032888,-2.459623,3.260919,5.641551
7.062856,-3.308807,-1.405341,0.080056
7.092855,-1.007206,-0.074774,-4.991236
7.132833,-1.009799,3.55725,-7.066416
7.162801,-2.359427,1.144416,-7.967823
7.1928,-2.341245,-4.11129,-9.292877
7.232778,-0.950915,-5.931637,-12.73766
7.262746,-6.026109,-3.596181,-4.821866
7.292745,-1.810334,-2.254846,-0.31123
7.332693,2.036186,0.146616,-1.469463
7.362692,-1.628892,-3.741001,-1.644061
7.39266,-1.141466,-5.125421,-0.920664
7.432638,-1.899835,-3.139222,0.226021
7.462637,-3.21773,-3.609863,2.076864
7.492605,-2.367382,0.049059,4.859732
7.532583,-2.823115,2.787472,5.882843
7.562582,-1.84089,4.571921,7.145125
7.59255,-1.647026,5.69312,11.496234
7.632528,2.652389,3.958641,9.742431
7.662496,1.845721,2.0785,7.974288
7.692495,-0.287504,3.941039,4.750814
7.732473,-1.195239,1.710512,-5.109153
7.762441,-4.653451,2.302052,-9.894453
7.79244,-4.896076,4.381461,-11.908685
7.832418,-2.962055,2.608333,-10.059721
7.862386,-3.136308,-2.330696,-11.25061
7.892385,-4.695457,-4.33029,-10.935803
7.932333,-4.546324,-2.423552,-0.141201
7.962331,-2.832563,-4.414484,-1.910752
7.992256,-2.091072,-4.024102,-1.325778
8.032235,-1.473794,-3.854538,0.241812
8.062234,-0.781595,-2.776796,0.163777
8.092201,-3.222141,-2.523402,0.68528
8.13218,-4.984062,0.389274,5.103159
8.162179,-2.185722,3.021087,7.266375
8.192146,-2.233087,4.343009,6.55914
8.232125,0.230899,5.804564,9.637507
8.262093,0.390089,3.184034,11.55705
8.292092,0.076126,1.770338,9.768819
8.33207,0.597474,3.279717,5.830333
8.362038,-1.650451,3.624281,1.49671
8.392037,-2.809824,1.450698,-2.370768
8.432015,-2.38062,1.004287,-7.180516
8.461983,-2.463931,0.929769,-8.191773
8.491982,-2.031119,-0.083577,-8.835129
8.53193,-0.859306,-1.791283,-11.1286
8.561928,-2.187733,-3.19823,-12.37472
8.591897,-6.231119,-2.225185,-1.893362
8.631875,-3.880767,-2.747937,0.58181
8.661873,-0.935856,-3.222412,-1.486448
8.691842,-0.591326,-4.968642,0.347658
8.73182,0.213171,-6.993198,1.123154
8.761818,0.536203,-4.714406,0.157104
8.791786,-2.391417,-1.356564,0.890614
8.831765,-1.579237,1.114219,4.679925
8.861733,-0.473522,4.608026,5.576729
8.891731,-0.810209,4.582025,5.635323
8.93171,0.717934,4.116952,8.319423
8.961678,-0.986662,1.832661,9.366773
8.991631,-0.976608,1.568657,7.99268
9.031609,0.46583,4.476836,5.001832
9.061577,-0.771113,4.060374,1.014969
9.091576,-3.029277,1.281098,-2.632818
9.131554,-3.873223,0.842972,-6.803033
9.161522,-2.983491,0.574243,-7.692362
9.19149,-2.362178,-1.323728,-8.299209
9.231469,-1.942065,-4.404151,-10.795845
9.261467,-2.64853,-6.163283,-9.030484
9.291436,-4.887401,-1.8194,-0.4009
9.331414,-2.239892,-1.347774,-0.319903
9.361412,-2.411052,-3.440507,-0.460097
9.391381,-1.426292,-3.50547,1.168012
9.431359,-1.613885,-3.110258,0.774625
9.461327,-0.345609,-3.899431,-0.856382
9.491326,-1.883962,1.50302,4.407769
9.531304,-0.708274,3.955374,7.053859
9.561272,1.765642,4.986815,7.82497
9.591271,0.38544,4.176584,9.182694
9.631249,-1.258946,-1.118405,10.330106
9.661217,1.365756,3.759877,8.392105
9.691216,2.207967,5.84383,5.572885
9.731194,-2.013667,0.746425,-2.628047
9.761162,-3.620684,1.020765,-7.523636
9.79113,-3.814961,2.737008,-9.724221
9.831108,-2.765311,1.395344,-9.617598
9.861107,-2.506803,-0.062924,-9.187849
9.891075,-2.696636,-2.09959,-8.723554
9.931053,-3.876051,-2.818113,-1.740912
9.961052,-3.389975,-4.165701,-0.64658
9.991001,-1.407169,-2.57018,-1.128179
10.030979,1.970872,-3.146858,0.747562
10.060977,0.806772,-7.197029,0.41205
10.090946,-1.774315,-6.865381,0.443075
10.130924,-2.368347,-1.273246,3.084015
10.160892,-2.520526,1.139477,5.615095
10.190891,-3.193791,0.841623,6.006125
10.230869,-1.87874,3.593043,5.67638
10.260837,-0.218079,5.938721,10.385666
10.290836,-0.363252,2.838245,10.930208
10.330814,0.965585,0.650324,7.398915
10.360782,-1.742292,1.91763,2.254529
10.39075,-1.406599,3.659671,-3.163081
10.430728,-3.130105,0.70582,-8.878678
10.460727,-3.462877,0.228497,-10.641811
10.500705,-1.305311,0.227054,-9.883618
10.530673,-1.279337,-0.834795,-12.446507
10.560672,-3.162591,-4.083493,-9.096531
10.59064,-5.129758,-4.184368,-2.397879
10.630618,0.070036,-0.334155,-1.992572
10.660617,-1.255145,-2.122566,-1.627309
10.690585,0.244985,-6.31346,-0.20692
10.730564,-0.808622,-7.856625,-0.465802
10.760532,-2.350728,-3.815021,-0.318961
10.80051,-2.911589,1.371864,5.530189
10.830509,-4.0543,2.678534,6.076085
10.860477,-4.360592,3.492166,6.245562
10.890476,-2.050965,5.198151,5.767725
10.930454,0.681706,4.009615,11.63139
10.960422,1.500639,1.833743,10.285253
11.000366,1.249629,1.321686,5.395499
11.030334,-1.632116,1.434162,0.724722
11.060333,-2.334358,2.472657,-3.681329
11.100311,-1.886377,2.638123,-8.119223
11.130279,-3.033002,1.875723,-9.38824
11.160278,-2.849501,1.164493,-10.814348
11.200256,-2.787166,-2.344032,-11.046577
11.230224,-1.865619,-3.850347,-9.081997
11.260223,-3.871744,-2.467681,-4.318514
11.300201,-1.182527,-2.192504,1.578174
11.330169,-1.392688,-2.805109,-0.074759
11.360138,-3.751269,-5.876984,1.189044
11.400116,0.625934,-4.732548,1.644756
11.430114,-1.762747,-2.77996,0.899913
11.460083,-4.533371,-3.972082,2.47087
11.500061,-3.682592,2.663495,4.748259
11.53006,-2.711779,5.307912,4.927892
11.560028,-2.099343,6.121968,4.403202
11.600006,1.384958,6.711987,7.422701
11.630005,1.568053,5.053022,8.384508
11.659973,2.687344,4.449537,6.931073
11.699951,0.770339,3.390837,2.305312
11.729919,-0.805947,2.477683,-1.611953
11.759918,-1.910695,2.251804,-4.076695
11.799896,-2.643928,1.408208,-6.897277
11.829864,-3.057054,0.321692,-8.026067
11.859863,-2.578342,-0.586525,-8.694997
11.899841,-3.261233,-3.004502,-11.285409
11.929809,-3.205805,-2.516304,-8.085075
11.959808,-2.929094,2.102923,1.844784
11.999711,-2.69488,-0.766167,-0.019863
12.029709,-2.501623,-5.305438,-1.021646
12.059678,0.275786,-6.280862,0.200136
12.099656,0.059622,-6.702091,-0.355519
12.129654,-3.66013,-5.864422,-0.42117
12.159623,-4.034599,-1.488239,3.440463
12.199601,-1.937273,2.876955,6.009532
12.229599,-1.852568,4.052687,6.54107
12.259568,-0.480443,6.105404,5.787431
12.299546,-1.093542,3.163422,10.792087
12.329514,-0.220203,2.468722,9.192431
12.359513,0.556496,3.060018,7.137816
12.399491,-1.606683,2.198422,2.767947
12.429459,-2.901299,0.855319,-0.812726
12.459458,-1.787794,1.6193,-4.402246
12.499436,-1.700399,1.476556,-7.150487
12.529404,-2.064068,-0.308468,-7.019914
12.559403,-1.526162,-2.129856,-7.72714
12.599381,-0.140652,-4.22682,-10.405019
12.629349,-3.613226,-3.69384,-4.140104
12.659318,-4.246432,-2.563331,0.788324
12.699296,-0.06321,-2.151988,-1.600629
12.729294,-0.358414,-5.448959,-1.547656
12.759263,0.289083,-6.749984,-1.780445
12.799241,0.167584,-4.841105,-1.59032
12.829239,-1.889387,-1.98732,0.364546
12.859208,-1.102478,1.660638,4.195323
12.899186,-1.421416,2.923986,5.588183
12.929184,-0.688395,3.94017,5.595717
12.959153,2.164668,5.740039,5.661369
12.999086,-1.212285,1.138455,10.378027
13.029054,0.039016,1.006162,8.439263
13.059053,0.416964,1.816778,6.699888
13.099031,-1.70184,2.303668,1.224207
13.128999,-2.011911,1.310964,-2.377345
13.158998,-1.989125,0.000864,-4.963959
13.198976,-1.695062,0.75896,-7.090746
13.228944,-1.730655,0.646127,-7.816111
13.258943,-1.375628,-1.096691,-8.277577
13.298921,-1.929414,-4.892744,-11.431198
13.328889,-6.875735,-5.732234,-4.107835
13.388856,1.786701,0.494153,-1.159211
13.418825,-0.027726,-2.983618,-1.2938
13.458803,-0.267674,-7.443303,-1.118299
13.498781,-0.421287,-4.856775,-0.426395
13.528779,-1.769583,-0.931201,0.385846
13.558748,-2.286863,2.065422,2.86658
13.598726,-1.842163,4.145339,4.901904
13.628724,-0.401013,4.657996,5.154615
13.658693,1.440471,6.791676,3.432428
13.698671,-1.192143,1.236752,10.465714
13.728669,-2.208128,0.789336,8.317874
13.758638,0.237293,3.059934,6.82065
13.798616,0.808244,4.366314,2.787408
13.828584,-0.744294,2.884278,-0.669195
13.858583,-2.258454,0.329372,-4.17025
13.898561,-1.994403,-0.303952,-6.662997
13.928529,-0.72899,0.396282,-7.252322
13.958528,-1.419738,0.104323,-8.634055
13.998465,-2.760737,-2.953489,-13.194716
14.028433,-4.487907,-1.471322,-5.011627
14.058432,-3.712371,-0.455287,2.532806
14.09841,-2.539702,-3.459365,-2.158458
14.128378,-2.273235,-6.254974,-1.876614
14.158347,-0.634241,-6.123963,-0.576801
14.198325,0.056383,-1.80182,0.577441
14.228323,-2.701994,-0.910427,1.515136
14.258292,-1.513145,0.678091,4.626288
14.29827,0.036722,2.406964,6.612245
14.328268,0.729979,4.22369,4.617192
14.358237,2.240463,4.08034,7.772587
14.398215,-1.327664,0.619759,10.266279
14.428213,1.100529,2.633087,8.151337
14.458182,1.991659,3.116941,5.526221
14.49816,-0.133668,1.931407,0.684962
14.528159,-1.936269,0.302353,-3.01449
14.558127,-2.361616,0.878126,-5.858066
14.598105,-2.123688,1.607893,-7.94273
14.628073,-1.950193,-0.341231,-8.269377
14.658072,-2.01711,-2.812789,-10.356132
14.69805,-3.547302,-3.677872,-7.845155
14.728018,-4.173935,-1.019103,0.364631
14.758017,-1.334218,-0.113782,-0.502691
14.797995,-2.252888,-4.006542,-1.362346
14.827963,-0.585157,-7.142411,-0.352917
14.857962,0.123603,-7.977363,-0.150063
14.89794,-2.146189,-4.192746,-1.222876
14.927908,-1.397532,-0.398197,1.545673
14.957907,-2.156592,2.604546,5.387713
14.997851,-1.510842,5.602697,5.293433
15.027819,1.338417,6.000406,5.233064
15.057788,1.10917,3.825399,9.451179
15.097766,-1.415041,0.126199,8.910445
15.127764,1.126859,2.751362,6.070288
15.157733,-0.744096,3.250375,4.445977
15.197711,-1.402784,3.046867,-1.365435
15.227709,-2.033837,2.326831,-4.08724
15.257678,-2.706574,2.183521,-6.259525
15.297656,-2.756284,1.35978,-7.112827
15.327655,-1.676476,-0.00135,-7.513964
15.357623,-1.477988,-2.146293,-9.666501
15.397601,-4.630221,-3.214611,-10.277841
15.4276,-5.224553,-1.311285,0.479308
15.457568,-1.48203,-1.042377,2.211234
15.497546,-0.17111,-3.588944,-1.981815
15.527514,-1.820355,-5.961884,-1.879184
15.557513,-2.538832,-5.861278,0.381132
15.597491,-2.307643,-1.809588,0.650337
15.627459,-1.725623,3.040786,4.519119
15.667437,-0.104871,2.514169,7.105033
15.697436,0.969161,2.769863,5.304084
15.727404,-0.867228,1.58087,7.969583
15.767382,-1.273659,1.843652,8.232271
15.797381,2.5099,4.956822,5.424248
15.827349,3.638572,4.350638,4.089182
15.867327,-1.084281,2.731732,-1.276308
15.897326,-2.788764,2.841989,-5.335988
15.927294,-3.058814,2.159062,-7.286732
15.967272,-2.433998,2.571311,-8.097554
15.997233,-2.635968,1.991451,-9.096904
16.027232,-3.044103,0.362932,-9.726729
16.06721,-4.149047,-1.749593,-8.759723
16.097178,-4.42946,-0.981781,-2.688126
16.127177,-4.414872,-3.097043,0.839118
16.167155,-2.519927,-3.251555,-0.465174
16.197123,-1.954249,-4.124533,-0.326309
16.227122,-3.270997,-5.721726,-0.061724
16.2671,-1.087271,-2.187457,0.664533
16.297068,-3.45741,-1.041673,1.930975
16.327067,-5.140607,-0.440482,4.468096
16.357035,-1.816244,1.333629,6.578281
16.397013,-1.826033,2.971276,6.480747
16.426981,-0.657525,5.828263,7.68917
16.466959,-0.801047,3.619244,10.590787
16.496958,-1.499091,3.464501,9.163268
16.526926,-2.250962,4.122594,7.259561
16.566904,-1.132996,3.048899,2.865626
16.596903,-1.134347,1.136412,-2.236902
16.626871,-1.874183,0.182332,-6.883837
16.666849,-1.93044,-0.247222,-8.658461
16.696848,-0.630123,-2.171027,-9.161144
16.726816,0.230305,-3.634957,-9.419495
16.766794,-0.004884,-7.055444,-10.951012
16.796793,-4.698211,-4.41042,-6.287681
16.826762,-2.272246,-0.823109,-0.204182
16.86674,0.485275,-1.340304,-2.003346
16.896708,0.065315,-2.892706,-1.122194
16.926707,-1.656645,-6.422074,-0.098499
16.966685,-1.086021,-5.105145,-0.624587
16.996611,-0.949155,-2.368128,0.879521
17.02661,-3.76019,-1.149648,4.146815
17.056578,-3.50922,2.634556,5.340586
17.096556,-1.521549,3.823238,6.983622
17.126555,-1.887466,5.08684,7.211931
17.166533,-2.479412,2.260027,9.444383
17.196501,-1.089389,3.638945,7.849813
17.2265,-0.645741,4.331654,7.417634
17.266447,-2.231649,3.762573,1.622631
17.296446,-3.251476,1.502676,-2.594844
17.326414,-3.083274,0.570952,-7.100845
17.366392,-1.94711,2.012533,-8.265673
17.396391,0.08673,1.563483,-8.627723
17.426359,-0.323014,-2.706566,-9.069238
17.466337,-1.782371,-7.401579,-12.612184
17.496336,-4.013199,-4.534057,-5.902282
17.526304,-2.769678,-2.411874,0.571004
17.566283,-1.146925,-2.595248,-1.717173
17.596281,-2.196058,-5.665263,-0.935313
17.62625,0.177192,-4.006339,0.720201
17.666228,-1.685583,-2.089763,0.511384
17.696196,-3.223896,-4.407913,0.351654
17.726195,-3.66935,-0.463871,3.029703
17.766173,-1.406783,5.220225,5.599721
17.796141,-0.658664,5.422422,6.734338
17.82614,-1.002751,6.255014,7.527889
17.866118,-0.111575,3.127951,9.756501
17.896086,-0.66729,1.927583,7.812279
17.926085,-1.875796,1.576603,6.318656
17.966063,-2.325388,2.807859,1.91083
17.996001,-1.649279,2.300444,-1.556885
18.026,-2.151018,0.307672,-4.864023
18.065978,-1.842567,0.411808,-6.745995
18.095946,-0.758949,0.654521,-8.111696
18.125914,-0.39812,-2.991552,-11.158443
18.165892,-2.785836,-4.656174,-8.203659
18.195891,-3.266343,0.007318,0.679389
18.225859,0.241582,-0.99421,-1.770982
18.265837,-1.738843,-5.891237,-1.960165
18.295836,0.044891,-4.223134,-0.945725
18.325805,0.596095,-2.370811,0.084836
18.365783,-1.943614,-4.78712,-0.579546
18.395781,-3.117284,-1.64872,2.491504
18.42575,-2.543276,1.127627,5.564109
18.465728,-0.022799,6.470875,6.956571
18.495726,0.962121,6.014047,8.365742
18.525695,-0.483871,1.725929,10.257593
18.565673,-2.096725,0.089404,7.908623
18.595641,-0.10454,3.393691,6.588579
18.62564,0.908899,5.146434,3.934089
18.665618,-3.051913,1.607449,-3.967413
18.695586,-4.386309,0.491456,-7.999702
18.725585,-4.100614,1.502433,-9.090461
18.765563,-1.713172,0.837191,-8.412843
18.795531,-0.349627,-2.423359,-9.350679
18.82553,-1.487925,-6.456509,-11.078474
18.865508,-4.40812,-2.165693,-0.692168
18.895476,-0.284992,0.972113,-0.32783
18.925475,-0.545724,-0.883009,-1.469848
18.965422,-2.039173,-4.517736,0.020573
18.995373,0.825683,-4.552382,1.399099
19.025341,-0.533561,-1.497577,2.298983
19.06532,-2.01867,-0.7121,4.793093
19.095318,-2.274704,1.650254,7.393393
19.125287,-3.774596,1.794272,7.219294
19.165265,-0.135753,5.409548,8.849955
19.195263,-0.140153,4.358406,9.330382
19.225232,-0.690412,1.428789,8.654546
19.26521,-0.16434,3.433901,4.827527
19.295208,-1.269731,4.961612,1.300058
19.325177,-1.565642,1.630439,-4.557162
19.365155,-2.895843,1.624336,-9.267651
19.395123,-2.393316,4.179021,-9.820758
19.425122,-1.872472,3.934239,-9.293808
19.4651,-3.764291,-0.044473,-8.875948
19.495068,-5.112906,-4.84922,-9.499194
19.525067,-4.949615,-6.530156,-7.762707
19.565045,-3.200594,-0.132331,-0.699142
19.595013,-0.71521,1.874562,0.288607
19.625012,-0.999467,-1.46161,-0.30886
19.66499,-3.471683,-5.361041,1.081233
19.694958,-1.672209,-3.698864,2.212965
19.724957,-2.815958,-1.239476,3.067043
19.764935,-2.057107,1.545388,7.253237
19.794903,-0.678175,2.252261,7.766176
19.824872,-3.308387,2.342293,7.313944
19.86485,2.207874,6.469042,9.814646
19.894848,1.893673,4.273257,9.362413
19.924817,1.375124,2.1373,8.995132
19.964795,-0.292443,1.404849,4.443416
19.994758,-0.457044,2.124343,-0.993637
20.024727,-1.941826,0.796121,-5.699778
20.064705,-2.989486,1.192138,-9.072964
20.094703,-2.791291,3.039908,-10.319899
20.124672,-3.398579,1.727468,-10.71845
20.16465,-3.968834,-6.069037,-11.326825
20.194649,-5.204992,-8.785668,-7.002008
20.224617,-6.700896,-3.084586,-1.605926
20.264595,1.034706,0.897625,-0.255654
20.294563,1.077613,-1.344158,-0.418319
20.324562,-1.174273,-5.393625,-0.203802
20.36454,0.266161,-4.653919,1.267492
20.394508,-0.188924,-1.900087,0.520869
20.424507,-3.064308,1.322941,3.755386
20.464485,-3.383516,3.563939,6.780415
20.504463,-1.429705,6.026891,7.554363
20.524452,-0.681986,6.104085,8.837119
20.56443,-0.587981,3.959946,10.059052
20.594398,1.069762,4.242967,8.958669
20.624367,1.533256,3.534634,8.434462
20.664345,0.443412,2.436605,0.128645
20.694343,-2.496232,0.731416,-6.160225
20.724312,-3.888118,1.13754,-9.504911
20.76429,-2.561095,2.247286,-10.154176
