time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.018958,2.413741,-3.71758,-8.096282
0.048492,1.720595,-3.589336,-8.185469
0.081795,1.739001,-3.619115,-9.137647
0.115276,2.257065,-3.900743,-8.22707
0.149079,2.751635,-4.476419,-7.773951
0.182038,2.555602,-4.214095,-7.488133
0.21544,1.498824,-3.666551,-8.598633
0.24949,2.909358,-3.985141,-7.684165
0.281703,2.46851,-5.010495,-8.211657
0.315268,1.969301,-4.330068,-8.079372
0.348606,2.708537,-4.809973,-9.056391
0.382569,3.028324,-4.295351,-8.389732
0.415489,2.004617,-3.88099,-7.484392
0.448437,2.304501,-5.495637,-8.226172
0.481995,1.343195,-4.030932,-6.943882
0.515233,1.517978,-4.163366,-7.372309
0.548409,2.266642,-4.758646,-6.998052
0.581936,1.168262,-4.697142,-7.282374
0.615227,0.183462,-4.403244,-8.253557
0.648463,-2.224442,-0.721279,-8.094337
0.681908,-2.772285,-1.268074,-7.825728
0.715163,-4.098421,-3.804522,-8.009938
0.748468,-2.324105,-3.907477,-10.98888
0.781815,-1.464256,-8.276751,-11.927141
0.814484,-1.784642,-6.119798,-14.218624
0.848492,-1.874278,-6.433599,-13.152418
0.882877,2.251079,-7.103251,-6.418785
0.915231,3.1853,-6.225895,-7.165653
0.948344,1.725533,-6.129076,-12.021416
0.981726,-1.926204,-9.054895,-16.780212
1.020363,-7.360338,-12.157891,-21.38278
1.047835,-11.518467,-7.821089,-21.202909
1.081766,-9.99555,-5.507758,-11.695494
1.115232,-3.631834,-1.264333,2.022424
1.148358,1.545213,4.317947,6.330645
1.181899,0.983603,8.929195,6.394842
1.214403,-5.841013,9.288487,6.289343
1.248475,-14.719928,5.787441,3.317734
1.281831,-25.216034,1.649365,-4.227862
1.315085,-24.328202,-5.630466,-9.263347
1.34829,-19.809733,-8.682583,-9.514598
1.381878,-13.643546,-9.722452,-10.700817
1.415756,-6.099297,-9.422567,-10.642606
1.448547,1.067852,-6.953459,-7.722923
1.482457,3.814249,-5.948457,-8.128455
1.515155,4.61873,-5.346742,-7.783678
1.548795,3.311449,-4.814762,-10.416496
1.582733,-3.176172,-3.234532,-11.564706
1.615234,-14.592432,-8.269718,-12.263539
1.648768,-27.909906,-12.281197,-17.426969
1.681798,-25.586101,-7.454912,-10.902835
1.715074,-13.796331,-6.448863,-0.091432
1.748622,-4.863096,0.722327,3.164649
1.78184,1.485356,11.41656,4.711059
1.815221,1.671362,12.842956,5.701546
1.848618,-0.521356,13.489713,6.415343
1.881832,-10.301869,9.710331,6.036148
1.91496,-20.121888,2.963379,3.262216
1.948487,-25.683518,-5.526314,-1.452734
1.981872,-27.609573,-15.289618,-6.508121
2.015147,-22.707569,-18.378249,-7.070779
2.048763,-9.591514,-14.587793,-7.175828
2.081836,0.779191,-11.897961,-5.575696
2.115212,8.225125,-10.876498,-7.113427
2.149419,8.62946,-7.503097,-6.9572
2.182253,3.313693,-5.764546,-7.123004
2.215146,-13.971414,-13.051559,-9.586726
2.249043,-30.122676,-19.66443,-13.01729
2.281808,-30.997788,-15.075928,-9.341611
2.315064,-16.5336,-6.978748,0.016161
2.348545,-7.530183,-0.395955,1.520223
2.381766,-0.928983,7.972976,1.009042
2.415146,3.334194,12.791629,1.905104
2.448592,1.827739,14.938706,3.982298
2.481676,-4.302085,14.001342,4.971288
2.515136,-14.251845,7.715441,6.996257
2.548733,-28.09277,-3.764418,5.090105
2.582222,-33.023505,-15.667467,-2.131364
2.615213,-27.809047,-19.130654,-4.590896
2.648762,-9.280407,-15.036273,-5.528708
2.681562,-0.547095,-11.754753,-5.049552
2.715132,6.422825,-11.235192,-6.808904
2.748486,9.04023,-8.866943,-6.350098
2.781918,4.509191,-7.344925,-7.198873
2.81522,-4.19105,-9.574754,-8.12651
2.849496,-19.910293,-17.641257,-11.537322
2.881794,-35.527181,-19.168064,-13.348001
2.915152,-21.568487,-10.364121,-5.032043
2.947977,-9.138545,-1.560327,2.733079
2.981886,-2.616956,8.070394,2.490358
3.015203,0.44444,14.972076,2.444118
3.048067,0.099961,16.51684,4.400999
3.081816,-4.496172,15.474577,5.071549
3.114861,-16.456085,6.222453,5.973148
3.148335,-28.472115,-5.237802,4.100366
3.181792,-30.281447,-13.741113,-1.406344
3.215104,-26.073637,-20.739315,-3.199217
3.248383,-12.757211,-17.370104,-1.875176
3.28175,-1.714609,-14.868673,-3.911068
3.315179,2.860275,-11.048887,-5.128713
3.348329,9.292977,-9.089013,-7.459402
3.381898,6.536853,-7.720977,-7.483793
3.416869,-4.620376,-10.411258,-7.678479
3.448463,-18.84708,-17.065282,-8.28154
3.481988,-33.124364,-21.33235,-8.97708
3.515088,-28.51162,-14.611586,-4.827182
3.548377,-17.71129,-7.991682,1.136089
3.581898,-5.463913,3.90613,2.692526
3.615853,0.09218,10.12544,3.085787
3.648458,2.249133,12.579435,3.408268
3.681844,-2.80805,14.395502,3.708152
3.716129,-9.47614,11.971585,3.970327
3.74947,-21.246455,2.64883,4.009084
3.781849,-30.8462,-15.049442,-0.303626
3.815456,-28.043537,-21.573425,-2.487066
3.848415,-18.724822,-19.145618,-3.899097
3.881831,-2.553507,-13.967972,-4.332313
3.915245,3.799434,-10.72895,-5.332526
3.94842,8.313564,-7.699279,-6.171275
3.9819,10.357088,-6.35384,-7.258581
4.014467,0.323977,-7.867029,-9.176105
4.0489,-10.677174,-13.048865,-10.443282
4.081944,-24.485178,-22.114085,-11.481056
4.115196,-29.410376,-21.618318,-6.72241
4.148271,-19.811828,-11.819399,-0.6704
4.181876,-9.448905,0.524499,1.87772
4.215189,-4.58072,12.574646,3.525438
4.248745,1.918722,17.072165,4.804885
4.281116,-1.060819,17.258022,6.055751
4.315102,-7.161911,15.392573,5.616549
4.348392,-19.185124,5.334023,5.023663
4.381808,-30.371383,-8.639785,2.741908
4.414599,-31.697369,-18.742929,-0.525097
4.448501,-28.648394,-23.411489,-2.305699
4.481805,-11.354308,-17.677022,-4.116677
4.515134,0.940356,-13.828355,-5.376671
4.548641,6.477594,-10.761273,-6.129525
4.581838,10.1633,-7.73684,-5.906257
4.615104,4.339945,-6.70131,-7.219524
4.647702,-2.902325,-8.823098,-8.558529
4.68188,-21.44144,-17.751993,-11.579671
4.715721,-35.995414,-26.014229,-10.265656
4.748214,-30.444109,-17.604894,-4.228012
4.78114,-14.447877,-3.03865,2.706891
4.815165,-6.798429,11.732007,5.533946
4.848695,3.766513,19.042065,6.547926
4.881771,4.086001,20.554357,6.435245
4.915132,-7.974772,19.37517,5.925561
4.948513,-16.336521,13.683201,4.765679
4.981779,-36.109292,-2.860575,1.129056
5.015146,-33.823646,-20.251629,-2.782162
5.048266,-28.333994,-22.857661,-6.096753
5.081778,-16.359117,-18.806976,-7.480501
5.115157,-1.346787,-12.745988,-4.883298
5.148305,6.112166,-10.166742,-6.069668
5.181803,9.993904,-8.194597,-6.658064
5.215224,6.12713,-8.858862,-8.70069
5.248481,-5.992302,-10.941593,-10.319378
5.282569,-24.391651,-19.669368,-11.151991
5.315498,-36.948639,-25.90499,-9.733077
5.348366,-22.745728,-11.21963,-0.876758
5.381875,-11.239981,-0.932126,2.677861
5.417831,-6.08972,11.295798,3.50359
5.448474,2.022724,17.148034,4.498117
5.4819,0.623113,16.580289,4.917567
5.515234,-7.935565,15.908542,4.540317
5.548587,-11.350866,12.544119,4.083307
5.582141,-28.593026,-0.755847,2.555602
5.615146,-35.787111,-16.503522,0.377998
5.648492,-35.66994,-23.98103,-2.318269
5.681893,-12.903861,-18.514574,-4.250309
5.715232,-1.058275,-14.177622,-5.399866
5.748395,5.900571,-12.271619,-8.631405
5.781811,10.821729,-9.468508,-8.376264
5.815217,4.96231,-8.942662,-8.472933
5.848657,-6.291139,-11.688162,-9.041726
5.881979,-22.742436,-19.426348,-10.332696
5.915272,-39.679623,-23.519981,-7.982254
5.948289,-26.900415,-12.030545,-1.036128
5.981815,-14.26621,-1.272115,3.27329
6.017388,-3.870216,11.266617,3.163751
6.048345,0.588396,16.306891,2.593612
6.081576,1.099277,16.89828,3.773097
6.115375,-4.672751,15.917071,3.896403
6.148487,-12.592304,11.893322,3.950723
6.181994,-27.580991,-0.002394,2.60259
6.215151,-35.41435,-14.794899,0.784578
6.248871,-28.464782,-22.904499,-3.28571
6.281906,-18.395757,-19.095787,-4.453524
6.315259,-5.043117,-14.587793,-4.106053
6.348367,4.248214,-11.829574,-3.297233
6.381805,8.820853,-11.335304,-4.611846
6.415156,8.636493,-10.026975,-6.451706
6.44856,3.176471,-9.234167,-8.928895
6.481938,-9.633265,-11.564557,-9.969363
6.515151,-23.330084,-19.571352,-12.186173
6.548722,-38.037591,-22.165712,-11.165758
6.581838,-24.560448,-10.43161,-3.36128
6.615146,-13.288294,0.818397,1.353072
6.648621,-2.687438,12.900868,4.386933
6.682167,4.632197,17.980348,5.576594
6.71523,-1.453931,18.222321,5.157743
6.748568,-9.242547,15.208662,4.527447
6.781834,-21.326514,5.952048,3.495061
6.815422,-33.704231,-13.409953,-0.266813
6.848614,-31.954904,-20.972309,-4.250907
6.881813,-24.377734,-19.582575,-6.818182
6.914628,-5.668176,-14.192137,-5.365149
6.948585,1.993843,-11.009082,-6.582344
6.981823,8.070394,-8.295906,-7.162061
7.014405,11.15663,-7.491874,-8.8849
7.04863,0.145303,-8.338853,-12.579435
7.081976,-9.749537,-12.487405,-12.341054
7.115253,-22.015919,-20.934599,-11.230404
7.151572,-29.395711,-18.554977,-5.997839
7.181167,-20.555703,-11.207359,-0.493074
7.215122,-11.753855,-1.524413,2.691328
7.248521,-2.08288,12.140083,4.372717
7.281807,2.336375,14.837397,5.13814
7.315106,0.172239,15.993539,5.897429
7.34857,-7.525544,13.227539,3.886976
7.381843,-18.342335,6.002478,2.80386
7.415182,-31.193521,-8.198338,0.118966
7.448413,-34.463369,-19.424852,-3.442087
7.481895,-22.985306,-19.146366,-6.121294
7.515156,-5.475435,-15.338851,-4.09034
7.548349,3.505236,-12.985416,-3.167193
7.581897,9.594507,-9.196008,-2.875988
7.615162,11.675891,-9.345801,-5.439222
7.648608,3.471417,-8.293511,-8.543415
7.681927,-6.379877,-11.427035,-10.971073
7.715145,-29.014121,-24.306504,-10.708599
7.748393,-39.949729,-25.467883,-6.806958
7.781795,-25.540609,-12.287332,-1.415173
7.815162,-10.245753,1.983667,2.763606
7.848452,-3.617169,11.220527,3.810209
7.881761,2.503526,16.349539,4.251057
7.915081,0.249754,17.624647,5.185727
7.948352,-6.854545,16.00581,4.854118
7.981763,-14.394454,11.137625,5.736263
8.015119,-23.62488,-1.173799,4.474324
8.048454,-41.871144,-20.635912,-1.100624
8.081795,-34.914543,-23.324547,-4.210504
8.115082,-11.304327,-16.857128,-4.225468
8.14844,2.321261,-12.625974,-3.630188
8.181361,7.534971,-12.378465,-5.466906
8.215158,10.143248,-10.038049,-6.349201
8.248565,4.662575,-8.414423,-8.253706
8.281769,-3.368612,-8.864848,-8.061714
8.315152,-18.458308,-17.710243,-6.758624
8.348322,-45.461527,-27.575454,-4.467141
8.381841,-31.960142,-13.064129,-2.047714
8.415133,-18.273349,-2.435289,0.597075
8.448467,-6.798728,5.864657,3.638868
8.481889,2.642246,16.014639,3.531424
8.515099,3.798387,17.575564,4.064452
8.548618,-2.156355,16.46671,3.916156
8.581954,-11.025692,13.198358,4.854417
8.615078,-18.531184,4.501709,4.596732
8.648898,-35.693434,-11.117124,0.561311
8.681845,-43.67928,-22.315355,-2.455042
8.715349,-14.791457,-17.385218,-3.802128
8.748623,-2.810295,-15.042558,-3.270147
8.781887,0.94709,-13.162594,-1.533242
8.815144,7.295094,-11.064749,-3.092521
8.848414,8.230512,-8.19759,-5.263242
8.881439,4.416712,-7.487086,-8.081767
8.915065,-4.841997,-8.825193,-9.616804
8.947968,-30.256607,-23.665882,-9.218903
8.981964,-46.99851,-26.932438,-4.272456
9.015111,-31.270887,-15.013677,-0.328017
9.048434,-14.000893,0.571037,1.130104
9.081776,-5.49848,10.728501,3.241566
9.115103,0.118368,17.847914,4.789472
9.148425,0.6288,21.218322,5.471545
9.181804,-5.369039,19.738952,5.131556
9.214797,-11.431225,15.004399,5.392384
9.248498,-29.07338,0.648253,3.56255
9.281776,-31.738371,-17.98798,0.993928
9.315104,-29.344683,-22.932183,-1.946406
9.348485,-20.90931,-19.940671,-4.602418
9.381961,0.216683,-14.443837,-3.716383
9.414425,6.161848,-13.819526,-5.918229
9.448359,8.259842,-11.630399,-6.820726
9.481705,2.143785,-11.330814,-7.882143
9.515052,-8.134441,-12.882761,-8.095534
9.548236,-20.064875,-17.620457,-8.697697
9.581742,-40.904301,-24.356036,-8.838661
9.614948,-32.089882,-11.536424,-3.761126
9.64845,-18.777496,-1.270618,0.051627
9.681815,-6.444374,9.964425,2.535251
9.715158,3.56225,18.95617,3.332548
9.748575,1.234105,19.856871,3.262216
9.781713,-4.716446,19.561326,2.851895
9.814531,-9.470752,16.395629,2.130766
9.848387,-30.915934,1.95284,4.608105
9.881932,-46.836746,-15.853174,3.563447
9.91506,-37.899321,-18.537918,-3.009469
9.9484,-11.138523,-15.95104,-4.875966
9.981784,-1.073688,-16.20259,-5.111953
10.014378,2.557697,-15.4861,-7.402837
10.048414,7.123304,-13.481183,-7.023641
