time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.028026,0.026133,-0.40381,-0.009923
0.057994,-0.203382,-0.256938,0.222785
0.087993,-0.332742,-0.29827,0.147011
0.127971,-0.333225,-0.487953,-0.111836
0.157969,-0.52673,-0.445048,0.00945
0.187938,-0.606963,-0.62716,0.172325
0.227946,-0.001549,-0.438565,0.285959
0.257914,-0.220673,-0.266599,0.189886
0.287913,-0.282526,-0.442449,0.106211
0.327891,-0.28374,-0.71779,0.217079
0.35789,-0.612846,-0.659361,0.111798
0.387858,0.092998,-0.242622,-0.102168
0.427836,-1.104582,-0.446763,-0.20387
0.457835,0.05791,-0.003775,-0.073893
0.487834,0.115133,0.57233,0.195615
0.527812,-1.274589,1.198554,-0.40404
0.55778,2.586609,-0.006143,-0.584963
0.587779,-1.24808,-1.206035,-0.549396
0.627757,-1.153242,-0.790766,-0.718364
0.657756,0.744808,1.342012,-0.704309
0.687724,1.68345,1.302063,0.289196
0.727733,-1.063319,-0.397752,-0.396467
0.757701,-1.629358,-1.426936,-0.531763
0.7877,-0.643227,-0.152419,0.784446
0.817668,-1.560697,0.64837,0.839007
0.857646,-0.609368,-0.833248,1.228823
0.887615,2.566115,-1.108491,1.038347
0.927593,3.73094,-1.828295,0.75354
0.957591,3.576709,-0.847152,1.131057
0.98759,6.643074,-1.911528,1.795097
1.027568,6.110695,2.068678,2.49894
1.057567,8.035831,2.50227,2.678093
1.087535,8.686695,1.40833,1.374926
1.127513,6.492978,1.583749,-0.746513
1.157512,0.195939,-1.367398,-0.730061
1.187511,-2.672887,0.612407,0.559571
1.227489,-0.902024,1.253846,1.33643
1.257457,-3.709634,1.957363,2.604339
1.287456,-4.000327,2.848522,2.974753
1.327434,-2.517812,3.707182,2.764908
1.357433,-2.270991,1.935604,1.495718
1.387401,-1.658652,0.114526,0.220605
1.42741,-0.643741,-0.518388,-1.243764
1.457378,1.017614,-0.071836,-0.800843
1.487377,1.604981,0.25034,-0.604908
1.527355,1.04228,-1.414991,-1.982407
1.557353,1.823657,-2.541673,-1.455637
1.587322,2.336222,-3.098956,-1.034038
1.6273,1.876208,-3.366942,-0.433211
1.657299,3.232633,-1.958438,0.006336
1.687297,1.809889,-0.657014,0.072751
1.727275,1.220649,-0.597671,0.867047
1.757244,0.989293,0.200631,0.54342
1.787242,0.153499,-0.357693,0.650365
1.827182,-0.657,-0.195706,0.384843
1.857181,-2.292264,-0.012423,0.288001
1.887149,-0.800724,1.395389,1.877747
1.927158,-2.385113,2.552318,2.576546
1.957126,-2.848843,2.835603,2.844732
1.987125,-3.885629,1.772645,3.042968
2.027103,-3.028591,0.199516,1.245172
2.057102,-1.652931,-0.362037,-0.351866
2.08707,-0.152148,0.748339,-0.228758
2.127048,2.03607,1.003624,0.098539
2.157047,2.446406,-0.394881,-0.950347
2.187046,1.853866,-2.296084,-2.936055
2.227024,1.851431,-4.160542,-1.663413
2.257022,2.426391,-3.568137,-0.837958
2.286991,2.710097,-1.871295,0.181382
2.326969,3.352805,-1.250018,1.095846
2.356968,2.034566,-0.235173,0.771289
2.386966,0.814596,-0.595063,0.593009
2.426944,0.965285,0.562983,0.572842
2.456913,-0.137962,0.97934,-0.005496
2.486911,-3.220592,1.295854,0.212957
2.526889,-6.257722,1.796393,2.306065
2.556888,-4.312799,5.144281,4.45692
2.586856,-1.856527,5.860812,4.581945
2.626865,-1.741877,3.169835,2.425425
2.656833,-2.657845,1.264355,0.839412
2.686832,-0.545608,0.460264,0.466784
2.72681,1.131698,0.371469,-1.110929
2.756809,1.622259,-1.403347,-3.338255
2.786777,1.372025,-3.229924,-5.222951
2.82672,3.14835,-2.70231,-3.234593
2.856719,2.452318,-2.978856,-2.628127
2.886718,2.156714,-2.202852,-2.290959
2.926696,1.929923,-1.539701,-0.232779
2.956664,1.564324,-0.524595,0.156322
2.986663,1.067054,-0.035764,0.391157
3.026641,-0.051757,0.258278,0.775961
3.05664,-1.055984,0.321887,0.24238
3.086608,-2.888449,0.387134,1.413659
3.126616,-5.711675,1.499883,2.958063
3.156585,-4.492712,3.658319,5.417311
3.186583,-4.816987,3.144424,4.523746
3.226561,-2.805374,1.563372,1.584666
3.25656,-3.041545,0.740572,-0.176417
3.286528,-1.691619,0.826908,-0.546149
3.326507,0.638257,0.399209,-0.855599
3.356505,1.550668,-1.13562,-2.375586
3.386504,1.996738,-2.760276,-3.941383
3.426482,4.231696,-2.707779,-3.665094
3.45645,3.490705,-2.684352,-1.535277
3.486449,3.085945,-2.210165,-1.860851
3.526427,1.767951,-2.351409,-0.17994
3.556426,1.308285,-2.073966,0.919208
3.586394,1.914986,-0.865831,0.862005
3.626403,0.382217,-0.013802,1.073194
3.656371,0.306143,1.178805,0.711622
3.68637,-1.301767,0.490952,0.421679
3.726348,-4.416873,0.049305,1.349992
3.756347,-4.802697,2.412801,4.081137
3.786315,-5.029376,3.079557,3.876869
3.826249,-4.886097,0.609689,1.889204
3.856248,-3.864206,0.528681,0.242532
3.886246,-2.63584,0.74475,-0.5211
3.926224,-0.059924,1.291497,-0.381601
3.956193,1.329786,0.594211,-1.599031
3.986192,2.707794,-1.104816,-3.193971
4.02617,4.065376,-3.002185,-4.155841
4.056168,4.375764,-1.344692,-2.392881
4.086167,3.9731,-1.947109,-2.21014
4.126145,2.07687,-2.406359,-0.501244
4.156113,1.888432,-2.130635,0.471613
4.186112,1.925341,-0.81058,0.37193
4.22609,1.099573,0.063114,0.854241
4.256089,0.773387,0.386195,0.160292
4.286057,-1.021508,-0.258077,-0.558812
4.326035,-3.31385,2.2649,2.210508
4.356034,-4.630561,3.326011,4.344285
4.386033,-4.466223,2.800258,4.817713
4.426011,-5.313737,0.074857,1.685441
4.45601,-3.002954,-0.261782,0.769544
4.485978,-1.965565,0.071152,-0.707511
4.525956,-0.164177,0.307118,-0.774728
4.555955,1.06091,0.04619,-1.038769
